Russian,English
мир,world
мнение,opinion
многий,many
много,a lot of
можно,Can
мой,my
молодёжь,the youth
молодой,young
молоко,milk
молча,silently
молчать,keep silent
море,sea
морской,nautical
моряк,sailor
московский,Moscow
мочь,be able
муж,husband
музыка,music
мы,We
мысль,thought
